               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12479,             0.15209,            0.061922,            0.003369,           0.0064362,           0.0018045,          0.00062701,             0.12247,             0.13039,            0.055892,               0.091,               0.001,               0.001
                   1,             0.11528,             0.17118,            0.053186,           0.0034306,            0.003732,           0.0017779,          0.00051807,             0.11591,             0.12913,            0.049105,            0.080684,           0.0016842,           0.0016842
                   2,             0.10611,             0.16984,            0.045098,            0.010104,           0.0055307,           0.0052163,           0.0014168,             0.11138,             0.27272,            0.040817,            0.069933,           0.0019328,           0.0019328
                   3,            0.095184,             0.15021,            0.035994,              0.3682,           0.0097892,            0.011197,           0.0032871,            0.091476,             0.20546,            0.033589,            0.058746,           0.0017458,           0.0017458
                   4,            0.085458,             0.15153,            0.031573,            0.031983,            0.018997,             0.02001,           0.0048689,             0.09078,             0.18089,            0.030835,            0.047123,           0.0011232,           0.0011232
